HD,B_ I/259/tyc2,B_error_I/259/tyc2,V_ I/259/tyc2,V_error_I/259/tyc2,B_TycoDouble,B_error_TycoDouble,V_TychoDouble,V_error_TycoDouble,B_B_TycoDouble,B_B_error_TycoDouble,V_B_TychoDouble,V_B_error_TycoDouble,PA(deg)_tycoDouble,Sep(arcsec),notes,B_ /276/catalog,B_error_/276/catalog,V_ /276/catalog,V_error_/276/catalog,B_ J/A+A/531/A92,B_err_J/A+A/531/A92,V_ J/A+A/531/A92,V_err_J/A+A/531/A92,V_Mag  II/237,G _I/350/gaiaedr3,G_err,J_ II/246/out,J_err,H_ II/246/out,H_err,K_ II/246/out,K_err,HD,B_I/297,V_I/297,R_I/297,B1_I/284,R1_I/284,R1_err,B2_I/284,R2_I/284,R2_err,B_complete,B_err_complete,V_complete,V_err_complete
196089,7.305,0.015,6.709,0.01,,,,,,,,,,,,,,,,,,,,,6.428795,0.002831,4.981,0.037,4.616,0.021,4.382,0.024,196089,,,,7.2,6.35,0.15,6.93,6.32,0.15,7.305,0.015,6.709,0.01
196867,3.703,0.014,3.753,0.009,,,,,,,,,,,,,,,,,,,,,3.735891,0.003487,3.904,0.288,3.89,0.236,3.826,0.015,196867,,,,3.65,3.78,0.15,3.72,3.79,0.15,3.703,0.014,3.753,0.009
198183,4.601,0.014,4.734,0.009,4.63,0.01,4.76,0.01,6.19,0.01,6.24,0.01,11.8,0.88,split - Says Aa and B?,,,,,,,,,,4.712803,0.004425,4.663,0.037,4.779,0.017,4.794,0.017,198183,,,,4.51,4.8,0.15,4.67,4.82,0.15,4.601,0.014,4.734,0.009
199766,,,,,6.48,0.01,5.96,0.01,6.77,0.01,6.31,0.01,282.5,0.92,Split – PA=67.1 Sep =10.28 for component C,,,,,,,,,,,,4.207,0.268,3.927,0.254,4.215,0.036,199766,,,,6.69,6.04,0.15,6.48,6.01,0.15,6.48,0.01,5.96,0.01
201038,7.305,0.015,7.051,0.01,,,,,,,,,,,,,,,,,,,,,6.997282,0.002781,4.207,0.268,3.927,0.254,4.215,0.036,201038,,,,7.27,6.92,0.15,7.14,6.9,0.15,7.305,0.015,7.051,0.01
206901,4.632,0.014,4.185,0.009,,,,,,,,,,,,,,,,,,,,,4.228839,0.014955,3.356,0.248,3.115,0.206,2.919,0.332,206901,,,,4.54,3.91,0.15,4.35,3.89,0.15,4.632,0.014,4.185,0.009
217676,3.515,0.014,3.611,0.009,,,,,,,,,,,,,,,,,,,,,3.575974,0.004149,3.827,0.288,3.841,0.234,3.886,0.344,217676,,,,3.45,3.65,0.15,3.56,3.67,0.15,3.515,0.014,3.611,0.009
217782,5.206,0.014,5.109,0.009,5.28,0.01,5.19,0.01,7.93,0.02,7.7,0.01,350.9,0.33,split,,,,,,,,,,5.012317,0.003176,4.863,0.284,4.747,0.036,4.688,0.016,217782,,,,5.18,5.06,0.15,5.14,5.05,0.15,5.206,0.014,5.109,0.009
220278,5.435,0.014,5.22,0.009,,,,,,,,,,,,,,,,,,,,,5.176976,0.013868,4.988,0.23,4.778,0.076,4.616,0.027,220278,,,,5.41,5.11,0.15,5.3,5.09,0.15,5.435,0.014,5.22,0.009
224512,7.661,0.015,7.273,0.011,,,,,,,,,,,,,,,,,,,,,7.511548,0.015249,6.451,0.018,6.328,0.023,6.26,0.021,224512,,,,7.6,7.05,0.15,7.42,7.02,0.15,7.661,0.015,7.273,0.011
